name,salary_from,salary_to,salary_currency,area_name,published_at
Главный менеджер по обслуживанию банкоматов и терминалов оплаты,,200000,KZT,Экибастуз,2022-12-27T07:23:49+0300
Инженер-геодезист,160000,,RUR,Набережные Челны,2022-12-27T07:46:30+0300
Специалист в банке,42500,,RUR,Смоленск,2022-12-27T07:54:35+0300
Начальник автоколонны,100000,100000,RUR,Москва,2022-12-27T07:47:12+0300
Системный инженер,2000,,USD,Ташкент,2022-12-27T07:28:19+0300
Специалист технической поддержки 1С,50000,60000,RUR,Тюмень,2022-12-27T07:30:13+0300
Копирайтер (со знанием русского и узбекского языка),4000000,,UZS,Ташкент,2022-12-27T07:41:31+0300
Дизайнер-менеджер,30000,60000,RUR,Новосибирск,2022-12-27T07:08:17+0300
Программист,70000,,RUR,Челябинск,2022-12-27T07:46:48+0300
Системный администратор,70000,70000,RUR,Первоуральск,2022-12-27T07:06:44+0300
Ведущий инженер,80000,,RUR,Челябинск,2022-12-27T07:01:48+0300
Ведущий инженер АСУ ТП,80000,,RUR,Омск,2022-12-27T07:54:13+0300
Специалист по информационным технологиям,40000,40000,RUR,Кемерово,2022-12-27T07:06:16+0300
Помощник механика на станок (производство),200000,350000,KZT,Алматы,2022-12-27T07:21:57+0300
Frontend разработчик,80000,,RUR,Томск,2022-12-27T07:10:34+0300
Разработчик 1С,300000,,KZT,Семей,2022-12-27T07:13:29+0300
Системный администратор распределительного центра,47000,,RUR,Красноярск,2022-12-27T07:12:25+0300
Ведущий системный администратор,70000,,RUR,Барнаул,2022-12-27T07:16:14+0300
Системный администратор,45000,,RUR,Пермь,2022-12-27T07:01:12+0300
Бренд - менеджер,,80000,RUR,Екатеринбург,2022-12-27T07:50:16+0300
Зуборезчик,45000,,RUR,Уфа,2022-12-27T07:54:24+0300
"Оператор Склада - Мой Склад,1с Управление Торговлей",50000,,RUR,Москва,2022-12-27T07:57:10+0300
Ведущий РНР разработчик (Symfony),350000,,RUR,Москва,2022-12-27T07:31:35+0300
Backend разработчик,80000,,RUR,Томск,2022-12-27T07:07:26+0300
Технолог по бизнес-процессам,60000,70000,RUR,Екатеринбург,2022-12-27T07:13:15+0300
Токарь,70000,85000,RUR,Кемерово,2022-12-27T07:08:48+0300
Программист-аналитик,190000,,RUR,Ижевск,2022-12-27T07:27:37+0300
Сервисный специалист по обслуживанию и ремонту оборудования,60000,100000,RUR,Новосибирск,2022-12-27T07:10:33+0300
Дизайнер-конструктор,27000,50000,RUR,Среднеуральск,2022-12-27T07:06:10+0300
Зубной техник (цифровой дизайн),150000,,RUR,Москва,2022-12-27T07:55:10+0300
Техник-программист,50000,,RUR,Тюмень,2022-12-27T07:11:45+0300
Оператор ЧПУ по распиловке,50000,80000,RUR,Омск,2022-12-27T07:24:23+0300
Токарь,60000,,RUR,Находка,2022-12-27T07:11:13+0300
Инженер первой линии поддержки (системный администратор),45000,50000,RUR,Новосибирск,2022-12-27T07:47:35+0300
Помощник системного администратора,35000,40000,RUR,Энгельс,2022-12-27T07:10:41+0300
"Мастер (инженер/электронщик/электроник) по ремонту радио аппаратуры, электроники, телевизоров, РЭА",75000,75000,RUR,Санкт-Петербург,2022-12-27T07:32:40+0300
Выездной инженер технической поддержки,40000,,RUR,Новоалтайск,2022-12-27T07:20:49+0300
Электромонтер по ремонту и обслуживанию электрооборудования 6 разряда,37600,,RUR,Тюмень,2022-12-27T07:35:40+0300
Инженер-механик (по надежности),63000,63000,RUR,Челябинск,2022-12-27T07:02:14+0300
Мастер по обслуживанию абонентов (Казань),30000,70000,RUR,Казань,2022-12-27T07:50:09+0300
Технолог по бизнес-процессам,60000,,RUR,Березовский (Свердловская область),2022-12-27T07:13:34+0300
Middle Systems Analyst,80000,120000,RUR,Томск,2022-12-27T07:20:33+0300
Сервисный инженер по ИБП,25000,50000,RUR,Самара,2022-12-27T07:26:13+0300
Инженер по подключению и сопровождению корпоративных клиентов,36000,,RUR,Абакан,2022-12-27T07:17:50+0300
Оператор станка с ЧПУ,55000,70000,RUR,Рязань,2022-12-27T07:46:45+0300
Графический дизайнер (разработка лицензионной продукции Disney),35000,60000,RUR,Екатеринбург,2022-12-27T07:53:35+0300
Системный администратор Linux,60000,,RUR,Пенза,2022-12-27T07:24:23+0300
Приемщик в компьютерный сервисный центр,40000,45000,RUR,Москва,2022-12-27T07:09:38+0300
Токарь,25000,30000,RUR,Новосибирск,2022-12-27T07:27:18+0300
Руководитель интернет-проектов / Руководитель IT-проектов,120000,,RUR,Москва,2022-12-27T07:28:47+0300
Слесарь механосборочных работ,42000,,RUR,Ижевск,2022-12-27T07:27:36+0300
PHP-программист,180000,,RUR,Москва,2022-12-27T07:31:35+0300
Оператор чпу,40000,,RUR,Барнаул,2022-12-27T07:15:09+0300
Оператор наладчик,40000,48000,RUR,Оренбург,2022-12-27T07:59:13+0300
Начинающий специалист по обслуживанию банкоматов,43000,,RUR,Тобольск,2022-12-27T07:20:23+0300
Наладчик полиграфического оборудования,20000,22000,RUR,Омск,2022-12-27T07:32:41+0300
Мастер по ремонту компьютеров,45000,75000,RUR,Великий Новгород,2022-12-27T07:18:47+0300
Инженер-программист 1С,50000,,RUR,Линево (Новосибирская область),2022-12-27T07:55:49+0300
Техник-программист (Ишим),40000,,RUR,Ишим,2022-12-27T07:11:45+0300
Инженер по обслуживанию POS-терминального оборудования,45000,,RUR,Новосибирск,2022-12-27T07:19:40+0300
Консультант 1С,80000,,RUR,Екатеринбург,2022-12-27T07:50:11+0300
